-------------------------------------------------------------------------------
--------------------- Enflame System Management Interface ---------------------
--------- Enflame Tech, All Rights Reserved. 2024-2025 Copyright (C) ----------
-------------------------------------------------------------------------------
                                                                               
GCU    SN                Slot           ID           Bus             CPU Affinity     UUID
--------------------------------------------------------------------------------------------------
 0     A0A7P40510338     PCIE5 (X16)    1e36:c035    0000:0d:00.0    0-7,32-39        TPUH90200803
 1     A806U40520442     PCIE5 (X16)    1e36:c035    0000:0f:00.0    0-7,32-39        TPUH59050406
 2     A807840520005     PCIE5 (X16)    1e36:c035    0000:13:00.0    0-7,32-39        TPUH75231005
 3     A807D40510771     PCIE5 (X16)    1e36:c035    0000:17:00.0    0-7,32-39        TPUH75190307
 4     A0A1650510828     PCIE5 (X16)    1e36:c035    0000:19:00.0    0-7,32-39        TPUH63221000
 5     A806U40520800     PCIE5 (X16)    1e36:c035    0000:22:00.0    0-7,32-39        TPUH59180208
 6     A0A5550550317     PCIE5 (X16)    1e36:c035    0000:24:00.0    0-7,32-39        TR6Y54090402
 7     A806U40520266     PCIE5 (X16)    1e36:c035    0000:28:00.0    0-7,32-39        TPUH67050805
 8     A807J405I0078     PCIE5 (X16)    1e36:c035    0000:2c:00.0    0-7,32-39        TPUH87120908
 9     A807D40510005     PCIE5 (X16)    1e36:c035    0000:2e:00.0    0-7,32-39        TPUH71221004
